"geneID"	"FC_X"	"FC_Y.x"	"LogFC"	"FC_Y.y"
"RPS15A"	-0.48	-0.82	0.15	-1.32
"RWDD3"	-0.48	-0.44	-0.04	-0.06
"SKA3"	-0.48	0.58	0.07	0.15
"SLCO5A1"	-0.48	-0.98	0.61	-2.42
"SNRPGP4"	-0.48	-0.38	0.62	-0.17
"SPICE1"	-0.48	-0.48	0.45	-1.03
"TBX4"	-0.48	0.29	-0.4	-0.37
"TCF19"	-0.48	0.4	0.14	0.48
"TET2"	-0.48	-0.03	-0.29	0.4
"TFP1"	-0.48	-0.57	-1.39	1.22
"TMEM261"	-0.48	-0.2	-0.23	-0.83
"UCK1"	-0.48	0.04	-0.14	-0.99
"UNC13D"	-0.48	1.01	-2.39	-0.01
"WDR61"	-0.48	-0.37	-0.14	-0.51
"ZNF157"	-0.48	-0.45	-0.86	0.97
"ZNF280B"	-0.48	-0.56	-0.7	-0.5
"ZNF467"	-0.48	-0.66	0.68	-0.39
"ZNF90P3"	-0.48	-0.59	0.82	-0.31
"ABCB6"	-0.49	-0.26	0.31	-1.36
"AC022182.2"	-0.49	-1.04	-0.07	0.34
"AC024592.12"	-0.49	0.14	-0.38	-0.16
"AC068522.4"	-0.49	-0.21	-0.4	0.15
"ACTR3B"	-0.49	-0.31	0.04	-1.91
"ADCY5"	-0.49	-1.06	-1.66	0.95
"ADGRG1"	-0.49	-0.7	-0.5	-2.02
"AL078584.1"	-0.49	-0.7	-0.24	-0.49
"ARHGAP39"	-0.49	-0.4	-0.73	-0.84
"ATP8A1"	-0.49	-0.4	-0.08	-1.26
"C1orf50"	-0.49	-1.23	-1.22	1.15
"CALM3"	-0.49	0.24	0.05	-0.09
"CALR"	-0.49	-0.68	0.27	-0.25
"CCL3"	-0.49	-0.23	-1.07	0.95
"CCNG1"	-0.49	-0.62	0.04	-1.36
"CDC6"	-0.49	0.18	-0.41	0.31
"CENPU"	-0.49	0.7	-0.4	0.27
"CFAP43"	-0.49	-0.39	-0.86	-0.66
"CPSF6"	-0.49	-0.42	0.19	-0.21
"CYP7A1"	-0.49	-0.58	-0.23	-0.44
"DHX40P1"	-0.49	-1.08	0	-0.49
"DUX4L34"	-0.49	-0.34	-0.39	-0.1
"DYRK4"	-0.49	-0.26	-0.35	-0.68
"EIF4B"	-0.49	-0.51	0.03	-1.2
"ETNK2"	-0.49	-0.33	-0.29	-1.79
"EVL"	-0.49	-0.25	0.92	-0.5
"FAM188A"	-0.49	-0.71	-0.3	-0.67
"FBXL6"	-0.49	-0.65	-0.25	-0.23
"FSTL4"	-0.49	-0.79	1.1	-0.17
"GGCT"	-0.49	-0.01	-0.13	-1.28
"GLIS2"	-0.49	-0.38	1.1	-0.07
"GLYCTK"	-0.49	-0.17	0.54	-1.02
"HAGH"	-0.49	-0.4	-0.54	-0.94
"HEXIM2"	-0.49	-0.82	-0.11	-0.44
"HMGB1P5"	-0.49	0.18	-0.24	-0.31
"HMGB3"	-0.49	0.93	0	0.03
"ITPK1"	-0.49	-0.51	-0.56	-0.95
"KIAA1524"	-0.49	-0.22	-0.21	0.56
"LINC00680"	-0.49	-1.31	-0.64	0.24
"MAD2L1"	-0.49	0.32	-0.3	0.01
"MFHAS1"	-0.49	-0.91	0.18	0.24
"MMP3"	-0.49	-0.12	-0.67	0.33
"MRPS36P1"	-0.49	-0.37	0	-0.49
"MS4A7"	-0.49	0.32	-1.77	-0.09
"MTUS1"	-0.49	-0.47	0.47	-1.63
"NANS"	-0.49	-0.06	0.17	-0.73
"NDUFAF3"	-0.49	-0.4	0.25	-0.19
"NENF"	-0.49	-0.09	-0.49	-1.12
"NME1"	-0.49	-0.17	0.22	-0.69
"NPAT"	-0.49	-0.38	0.21	-1.03
"NPPA-AS1"	-0.49	-0.83	0	-0.68
"NRL"	-0.49	-0.58	-0.28	-1.11
"PELI3"	-0.49	-0.29	0.55	0.03
"PLA2R1"	-0.49	0.9	-0.91	-0.56
"PMS2CL"	-0.49	-0.61	-0.44	-0.05
"POLA2"	-0.49	0.33	0.04	0.25
"POLR1C"	-0.49	-0.47	-0.05	-0.24
"RAD21L1"	-0.49	-1.17	1.17	-0.49
"RASGRF1"	-0.49	-0.82	-0.21	-1.06
"RHEBP1"	-0.49	-0.99	0.66	-0.82
"RP11-536L3.4"	-0.49	-0.7	-0.47	-0.24
"RP11-872J21.5"	-0.49	-0.33	-0.3	-0.11
"RPL13A"	-0.49	-0.74	0.08	-1.25
"RPL31"	-0.49	-1.05	-0.21	-1.45
"RPP25L"	-0.49	-0.39	-0.03	-0.54
"SLC47A1"	-0.49	-0.16	-0.62	-0.15
"SLC7A9"	-0.49	0.11	-0.23	-0.48
"TFAM"	-0.49	-0.18	0.07	-0.61
"TNNI1"	-0.49	-0.2	0	-0.13
"TPTE2P1"	-0.49	0.17	0.31	-0.73
"UBXN6"	-0.49	-0.23	-0.11	-0.51
"USP17L6P"	-0.49	0	-0.43	-0.06
"UTP4"	-0.49	-0.28	0.03	-0.63
"UTS2R"	-0.49	-0.99	0.63	-0.63
"WDR72"	-0.49	0.96	-0.02	-0.7
"WNT4"	-0.49	0.4	-0.17	-0.53
"YBEY"	-0.49	-0.44	0.34	-0.65
"ZNF239"	-0.49	0.08	0.73	0.26
"ZNF254"	-0.49	-0.61	-0.28	-0.49
"ZWINT"	-0.49	0.55	-0.12	0.39
"ABHD1"	-0.5	-0.24	0.09	-0.34
"ADM2"	-0.5	0.35	-0.22	-1.7
"APIP"	-0.5	-0.56	-0.04	-0.3
"APRT"	-0.5	-0.35	0.25	-0.63
"BAALC"	-0.5	0.15	0.38	-0.93
"BTBD18"	-0.5	-0.1	-0.67	-0.13
"C2orf42"	-0.5	0.19	0.33	-0.75
"CCR1"	-0.5	0.45	1.08	-1.02
"COX6A1"	-0.5	-0.16	0	-0.74
"CSPG4P10"	-0.5	-0.65	-0.05	-1.19
"CTD-2218G20.1"	-0.5	-0.21	0	-0.5
"DDX19B"	-0.5	0.13	0.02	-0.67
"DESI1"	-0.5	-0.25	0.64	-0.77
"DPYSL4"	-0.5	-0.32	-0.01	-1.03
"DUSP9"	-0.5	-0.23	-0.7	0.18
"EEF1DP3"	-0.5	0.92	-0.16	-0.06
"EPN3"	-0.5	-0.8	1.06	-0.88
"FAM35DP"	-0.5	-0.57	0	-0.5
"FGF22"	-0.5	-0.54	0.78	-0.5
"HINT1"	-0.5	-0.34	-0.07	-0.71
"HNRNPA1P50"	-0.5	-0.22	-0.73	0.15
"LIN28A"	-0.5	0.33	-1.35	-0.26
"LSM6"	-0.5	-0.33	0.08	-0.27
"MFSD2B"	-0.5	0.5	0.11	0
"MTHFD2"	-0.5	-0.41	0.48	-1.84
"NAT16"	-0.5	-1.07	0.8	-0.8
"NDUFB7"	-0.5	-0.26	-0.09	-0.51
"NEU3"	-0.5	0.19	-0.12	-0.97
"NPY6R"	-0.5	-1.72	-0.71	0.73
"NUDCD3"	-0.5	-0.37	0.02	-0.66
"PAIP1"	-0.5	-0.23	-0.05	-0.89
"PIK3AP1"	-0.5	-1.8	-0.18	0.22
"PLEKHA8P1"	-0.5	-0.31	-0.54	1.33
"POC1B-GALNT4"	-0.5	-0.95	2.07	-0.45
"PRR5"	-0.5	-0.15	-0.16	-0.67
"RP1-272E8.1"	-0.5	-0.94	0.25	-0.53
"RP11-570L14.1"	-0.5	0.5	-0.21	-0.25
"RP11-717K11.2"	-0.5	0.4	0.32	0.11
"RP11-876N24.4"	-0.5	0.53	-1.3	-0.33
"RPL34"	-0.5	-0.71	-0.21	-1.32
"RPL34P27"	-0.5	-0.49	-0.79	-0.01
"RPL39"	-0.5	-0.95	-0.11	-1.39
"RPS25"	-0.5	-0.78	0.02	-1.31
"RPUSD4"	-0.5	-0.52	0.01	-0.47
"SETD6"	-0.5	-0.36	0.46	-1.42
"SHROOM3"	-0.5	-0.09	0.21	-1.19
"SLCO4C1"	-0.5	-1.01	-0.46	-0.03
"SPCS2"	-0.5	-0.48	-0.25	-0.52
"STMN4"	-0.5	-0.71	0.45	-0.76
"SV2C"	-0.5	-0.32	0.14	-0.01
"SYP"	-0.5	-1.03	-0.35	0.27
"TBK1"	-0.5	-0.34	-0.31	0.82
"TMEM94"	-0.5	-0.11	0.15	-0.33
"UTY"	-0.5	-0.13	0.81	-0.6
"ZNF511"	-0.5	-0.13	0.07	-0.43
"ZNF76"	-0.5	-0.46	0.1	-0.84
"B4GALT5"	-0.51	-0.66	0.16	-0.84
"C11orf84"	-0.51	0.45	-0.09	-0.16
"C1QTNF9"	-0.51	-0.66	0	0.68
"CBWD7"	-0.51	-0.49	0.45	-1.78
"CCDC112"	-0.51	-0.38	0.29	-1.23
"CD55"	-0.51	-0.75	0.46	-2.72
"CDV3"	-0.51	-0.27	-0.67	-0.25
"COX7C"	-0.51	-0.44	-0.15	-0.34
"DEPDC1B"	-0.51	0.67	-0.13	0.05
"DHFR"	-0.51	0.55	-0.26	-0.39
"DIO1"	-0.51	0.43	-1.54	0.69
"ECSIT"	-0.51	-0.43	0.23	-0.47
"ELP5"	-0.51	-0.15	0.15	-0.55
"EXOSC4"	-0.51	-0.25	0.3	-0.99
"EXTL1"	-0.51	-0.37	-0.39	-2.33
"FAM173A"	-0.51	-0.36	0.05	-0.44
"FAM210B"	-0.51	0.28	0.18	-1.7
"GAMT"	-0.51	-0.17	0.06	-0.44
"GRAMD4"	-0.51	-0.13	-0.16	-1.25
"H2BFM"	-0.51	-0.63	-0.02	0.05
"HLA-DOB"	-0.51	-0.57	-0.09	0.01
"HSF2"	-0.51	-0.24	-0.13	-0.22
"HTR2B"	-0.51	-1.09	-0.09	1.12
"HYOU1"	-0.51	-0.67	0.51	-1.68
"IDI1"	-0.51	-0.23	-0.32	-0.83
"KIF2C"	-0.51	0.6	0.16	-0.09
"LAMTOR4"	-0.51	-0.26	-0.19	-0.26
"LBH"	-0.51	-0.59	-0.91	-0.08
"LDHAP3"	-0.51	0.64	0.04	-0.99
"LINC00618"	-0.51	-0.41	0	-0.72
"LINGO1"	-0.51	-0.35	0	-0.67
"LIPT2"	-0.51	-0.45	-0.33	-0.76
"MFRP"	-0.51	0	0	-0.51
"MRPL17"	-0.51	-0.1	-0.14	-0.22
"MTCH2"	-0.51	0.11	0.03	-0.51
"NDUFAF2"	-0.51	-0.45	-0.44	-0.57
"NFKB2"	-0.51	0.71	-0.15	-0.65
"NHP2"	-0.51	-0.08	0.12	-1.09
"NPM3"	-0.51	-0.25	0.28	-1.33
"NTNG1"	-0.51	-0.56	0.32	-0.2
"P4HA1"	-0.51	-0.52	0.42	-0.84
"PBK"	-0.51	0.96	-0.2	0.08
"PHF24"	-0.51	-1.25	-0.39	-0.23
"POLE"	-0.51	-0.55	-0.36	-0.4
"PPARGC1B"	-0.51	-0.62	1.46	-1.16
"RANBP1"	-0.51	0.27	-0.03	-0.5
"RASSF7"	-0.51	-0.04	-0.21	-0.77
"RAVER2"	-0.51	-0.71	-0.41	-1.08
"RHOJ"	-0.51	-0.61	-0.72	-0.91
"RP11-166B2.1"	-0.51	-0.79	-1.29	0.23
"RP11-505K9.4"	-0.51	0.4	1.3	-1.61
"RP11-554D14.2"	-0.51	0.12	0.51	-1.11
"RP11-740C1.2"	-0.51	-0.55	-1	-0.92
"RP13-608F4.5"	-0.51	-0.66	0.15	-0.42
"RPL10"	-0.51	-0.69	0.16	-1.16
"RPL23A"	-0.51	-0.8	0	-1.32
"RPL26L1"	-0.51	-0.04	0.17	-0.45
"RPL7P44"	-0.51	0.15	-0.24	-1.16
"SBSPON"	-0.51	-0.6	-1.11	-0.34
"SLC6A15"	-0.51	-0.72	0.33	-2.51
"SLC7A6"	-0.51	-0.4	0.15	-0.48
"SNRPD2"	-0.51	-0.25	-0.1	-0.78
"SNU13"	-0.51	-0.42	0.03	-0.68
"SPAG8"	-0.51	-0.89	1.02	-1.15
"SYK"	-0.51	-0.46	-0.68	0.39
"TENM3"	-0.51	-0.44	0.4	-0.59
"TMEM160"	-0.51	0.17	-0.02	-0.39
"TMEM201"	-0.51	-0.09	-0.06	-0.89
"TMEM233"	-0.51	0.02	-1.22	0.46
"TP53I13"	-0.51	-0.13	-0.02	-0.53
"TSPAN9"	-0.51	-0.3	-0.05	-1.11
"TUBAP2"	-0.51	0.39	-0.4	-0.37
"TYW1B"	-0.51	-0.09	-1.22	0.11
"UBE3D"	-0.51	-0.27	0.62	-0.62
"UQCRB"	-0.51	-0.49	-0.12	-0.6
"USP30"	-0.51	-0.54	-0.07	-0.2
"VKORC1"	-0.51	0.04	0.07	-0.58
"ZBTB18"	-0.51	-0.74	-1.04	2.08
"ZDHHC11"	-0.51	-0.26	-0.9	-0.92
"ZNF236"	-0.51	-1.08	0.6	-0.1
"AC009967.3"	-0.52	0.42	-1.3	0.31
"ALDH16A1"	-0.52	-0.32	0.2	-0.18
"ATP5G2"	-0.52	-0.61	0.1	-1.26
"BCAS3"	-0.52	-0.34	-0.09	-2.34
"BEGAIN"	-0.52	-1.6	0.03	-0.28
"BNIPL"	-0.52	0.39	-0.51	0.13
"C2orf80"	-0.52	0.06	-0.2	-0.36
"C6orf106"	-0.52	-0.52	0	-0.65
"CATSPERG"	-0.52	-0.94	0.18	-0.2
"CCDC59"	-0.52	-0.47	0.26	-0.39
"CCL17"	-0.52	-0.78	-1.1	-0.45
"CEMP1"	-0.52	0	-0.89	0.37
"CLPP"	-0.52	-0.11	0.02	-0.76
"COX17"	-0.52	-0.28	-0.3	-0.59
"CTC-543D15.1"	-0.52	-0.95	-0.63	0.12
"CTH"	-0.52	-0.71	-0.22	-1.96
"DENND1A"	-0.52	-0.53	-0.1	-1.38
"DLAT"	-0.52	0.17	0.35	-0.88
"EGR3"	-0.52	-0.29	0.14	-3.53
"ESRP1"	-0.52	-0.9	-1.18	-0.27
"FAM110D"	-0.52	-1.22	0.39	-0.48
"FAM210A"	-0.52	-0.17	-0.78	-1.93
"FAM24B"	-0.52	-0.61	0.19	-0.71
"FASTKD3"	-0.52	-0.45	0.05	-0.66
"FAXC"	-0.52	-0.57	0.45	-2.59
"FGFR2"	-0.52	-1.01	-0.95	0.99
"GAPDHP58"	-0.52	0.15	-0.23	-0.8
"GFER"	-0.52	-0.17	-0.03	-0.73
"GMPPB"	-0.52	-0.04	0.03	-0.33
"HERC2P10"	-0.52	-0.42	-0.3	-0.35
"IL33"	-0.52	-0.84	1.19	-1.83
"IQSEC1"	-0.52	-0.6	-0.13	-0.24
"KBTBD2"	-0.52	-0.51	-0.24	-0.65
"KBTBD4"	-0.52	-0.24	-0.21	0.25
"MCF2L2"	-0.52	-0.48	0.04	-1.11
"MED22"	-0.52	0.24	-0.42	-0.15
"MRPL53"	-0.52	-0.52	0.03	-0.7
"MUC21"	-0.52	-0.09	-0.93	0.29
"NACA"	-0.52	-0.57	0.01	-0.68
"NRROS"	-0.52	-0.39	0.16	-1.65
"OR7E38P"	-0.52	-0.09	0.02	-0.4
"PDF"	-0.52	0.33	0.33	-1.18
"PMS2P9"	-0.52	-0.58	0.96	-0.26
"PNPLA4"	-0.52	-0.15	0.21	-0.69
"PPIB"	-0.52	-0.47	0.41	-0.45
"PRR23A"	-0.52	0.06	-0.03	0.11
"PSMC1P1"	-0.52	2.08	-1.31	0.55
"PYCR1"	-0.52	-0.45	0.29	-1.45
"R3HDM4"	-0.52	0.03	0.02	-0.57
"RAD51AP1"	-0.52	0.43	-0.23	0.16
"RGS19"	-0.52	-0.35	-0.15	-0.35
"RP11-354K4.1"	-0.52	0.2	-0.53	-0.16
"RPA3"	-0.52	-0.14	-0.02	-0.09
"RPLP0"	-0.52	-0.49	0.16	-1.22
"RYR1"	-0.52	-0.95	-0.01	0.44
"SEC14L6"	-0.52	0	0.45	-0.52
"SH3BP2"	-0.52	-0.12	-0.06	-0.55
"SNRPGP10"	-0.52	0	-0.33	-0.19
"SNRPGP14"	-0.52	-0.72	0.61	-0.27
"SUZ12P1"	-0.52	-0.39	-0.46	-0.38
"SYNGR1"	-0.52	-0.4	0.13	-0.94
"TDRKH"	-0.52	0.2	0.66	-1.4
"TFDP2"	-0.52	-0.55	-0.71	0
"TMCO6"	-0.52	-0.28	0.72	-0.9
"TNFRSF10A"	-0.52	0.07	-0.13	-0.34
"TNS4"	-0.52	-0.01	0.04	-0.91
"TOMM40L"	-0.52	-0.2	0.1	-0.62
"TPRKBP2"	-0.52	-0.21	0.58	-0.33
"TSHZ2"	-0.52	-1.16	-0.03	1.19
"TUSC3"	-0.52	-0.3	0.33	-1.06
"UBE3A"	-0.52	-0.37	-0.22	-0.25
"UNC93B1"	-0.52	-0.26	0.7	-0.64
"ZNF136"	-0.52	-2.05	0.6	0.52
"ZNF205"	-0.52	0.3	-0.03	-1.03
"AC240274.1"	-0.53	-0.79	-0.65	-1.12
"AGA"	-0.53	-0.01	0.17	0.06
"AGMAT"	-0.53	-0.37	-0.76	-0.02
"ALMS1"	-0.53	0.03	-0.71	-1.34
"BAX"	-0.53	-0.21	0.14	-0.46
"BCL2L12"	-0.53	-0.1	0.1	-0.07
"C16orf59"	-0.53	0.13	0.14	0.02
"C17orf96"	-0.53	-0.63	0.9	-1.11
"C20orf196"	-0.53	-0.35	0.24	-0.93
"CBX3P2"	-0.53	-0.6	0.28	-0.49
"CERS4"	-0.53	-0.56	-1.45	0.35
"CLYBL"	-0.53	-0.1	-0.08	-0.44
"COQ8A"	-0.53	-0.49	-0.03	-1.72
"CTB-109A12.1"	-0.53	-0.72	-0.22	-0.31
"CTD-3138B18.4"	-0.53	0.41	0.34	-0.09
"DBI"	-0.53	-0.14	0.24	-1.2
"DHX33"	-0.53	-0.63	0.02	-1.26
"DLG2"	-0.53	-0.92	1.26	-1.24
"DNAJB13"	-0.53	-0.68	-0.55	-0.35
"DNM1P34"	-0.53	-0.13	0	-0.81
"DNMT3A"	-0.53	-0.6	0	-0.58
"DYNLT1"	-0.53	-0.2	-0.05	-0.38
"ENKUR"	-0.53	0.54	-1.15	-0.79
"FAM134B"	-0.53	-0.04	1.29	-1.32
"FANCI"	-0.53	0.57	-0.39	0.16
"FNIP2"	-0.53	-0.81	-0.46	-0.33
"FO538757.1"	-0.53	-0.15	-0.24	-0.29
"FREM2"	-0.53	-0.02	0.6	-2.46
"FXYD1"	-0.53	-0.59	0.07	-1.32
"GLRX2"	-0.53	-0.77	0.29	-0.86
"GPR15"	-0.53	-0.38	0.14	-0.47
"GPR55"	-0.53	0.24	-0.42	-0.63
"H1FX"	-0.53	-0.38	-0.3	-0.07
"H3F3AP6"	-0.53	0	0	-0.53
"HBE1"	-0.53	-0.24	-0.18	-0.91
"HERC6"	-0.53	-0.29	0.5	0.87
"HNRNPA1P6"	-0.53	-0.2	-0.45	0.11
"HSPA8P1"	-0.53	0.24	0.21	-0.98
"ITPR3"	-0.53	-0.62	-0.11	-0.37
"KCNS3"	-0.53	-0.29	-0.25	-0.9
"KLHL14"	-0.53	-0.89	-0.21	-1.53
"LDHAP5"	-0.53	0.59	0	-1.13
"LHFPL3"	-0.53	-0.86	-1.29	0.09
"MCM7"	-0.53	0.01	-0.03	-0.41
"NCAPG"	-0.53	1.08	-0.25	-0.12
"NDE1"	-0.53	-0.15	-0.36	-0.79
"NPM1P26"	-0.53	0	-0.38	-0.15
"NTAN1"	-0.53	-0.06	-0.13	-0.4
"PLK1"	-0.53	0.68	0.13	0.11
"PRPF40B"	-0.53	-0.45	-0.08	-0.39
"PRR19"	-0.53	0.08	-0.06	-0.37
"PSTK"	-0.53	0.1	0.1	-0.33
"PTBP2"	-0.53	-0.62	-0.05	0.16
"RFC3"	-0.53	0.33	-0.37	-0.1
"RHOQ"	-0.53	-1.09	-0.36	-0.73
"RP11-268J15.5"	-0.53	-0.27	-0.26	-0.05
"RP11-315D16.2"	-0.53	-0.48	0.51	-1.76
"RP11-561N12.2"	-0.53	0.23	-0.21	-0.53
"RPL21"	-0.53	-0.79	0.1	-1.49
"RPL27A"	-0.53	-0.94	-0.11	-1.37
"RPL34P31"	-0.53	0.7	0	-1.22
"RPL3P9"	-0.53	0.18	-0.47	-0.51
"RPS16"	-0.53	-0.59	0.04	-1.2
"RPS18"	-0.53	-0.68	0.06	-1.67
"SGO1"	-0.53	0.33	-0.18	0.2
"SH3GL1P3"	-0.53	-0.31	-0.38	-0.13
"SLC26A11"	-0.53	-0.11	-0.15	-1.23
"SLC7A6OS"	-0.53	-0.25	0.1	-1.17
"SLFN12L"	-0.53	-0.5	-0.34	-0.33
"SPINT1"	-0.53	-1.41	-0.29	-0.59
"STOML2"	-0.53	-0.24	-0.02	-0.45
"SYCP1"	-0.53	-0.86	0.47	-0.57
"TBC1D29"	-0.53	-0.13	0	-0.53
"TFAP4"	-0.53	-0.38	0.11	-1.11
"TIMM50"	-0.53	-0.18	0.08	-1.43
"TIMM8A"	-0.53	-0.13	-0.17	-0.48
"TIMM8B"	-0.53	-0.1	-0.16	-0.6
"TMEM56-RWDD3"	-0.53	-0.81	0.12	-0.16
"USP27X"	-0.53	-0.85	-0.96	-0.23
"USP32"	-0.53	-0.27	-0.29	0.07
"VPS13A"	-0.53	-0.7	-0.3	-0.59
"YWHAZP2"	-0.53	0	0.2	-0.53
"ZDHHC20"	-0.53	-0.04	0.16	-0.65
"ZNF202"	-0.53	0.04	0.25	-0.85
"ZNF253"	-0.53	-0.62	-0.09	0.59
"ABHD8"	-0.54	-0.55	0.35	-0.28
"ACSF2"	-0.54	-0.74	0.65	-1.09
"ASPM"	-0.54	0.3	-0.09	0.03
"C2orf15"	-0.54	0.38	-0.37	-0.61
"CARD8"	-0.54	-0.21	-0.03	-0.72
"CBY3"	-0.54	-0.64	0.33	-1.08
"CKAP2"	-0.54	0.41	-0.26	-0.66
"CTB-60B18.10"	-0.54	-1.67	0.38	-1.34
"DAGLB"	-0.54	0.1	-0.01	-0.16
"DNAJC25-GNG10"	-0.54	-0.25	0.51	-0.24
"DPY19L2"	-0.54	-0.72	0.16	-0.35
"DRP2"	-0.54	0.03	-0.93	-0.67
"EIF2S2P3"	-0.54	-0.33	-0.18	-0.43
"EIF4A1P10"	-0.54	-0.5	-0.06	-0.29
"EIF4EP1"	-0.54	-0.55	-0.51	0.04
"EPB41"	-0.54	-0.72	-0.45	-2.33
"FAM161A"	-0.54	-0.74	-0.59	-1.56
"GATC"	-0.54	-0.26	-0.11	-0.02
"GOLGA8J"	-0.54	-0.5	-0.14	-0.23
"HAUS4"	-0.54	-0.33	0.08	-0.92
"HERC5"	-0.54	-0.2	0.04	0.34
"HYPK"	-0.54	-0.02	-0.11	-0.66
"KCNK15"	-0.54	-0.84	1.78	0.15
"LSMEM2"	-0.54	0	-0.19	-0.35
"LY6G5C"	-0.54	-0.58	0.12	0.89
"LYAR"	-0.54	-0.28	-0.07	-0.35
"MARK2"	-0.54	-0.36	-0.34	-0.34
"MLST8"	-0.54	-0.23	0.2	-0.97
"MOGAT1"	-0.54	-0.15	0.1	-0.82
"MRPL27"	-0.54	-0.32	-0.07	-0.34
"MRPS34"	-0.54	-0.18	0.01	-0.65
"MYO9B"	-0.54	-0.48	-0.64	0.49
"MYRF"	-0.54	-0.63	-0.17	0.06
"NEU4"	-0.54	0	0	-0.54
"PABPC3"	-0.54	0.71	0.26	-2.1
"PBDC1"	-0.54	-0.34	-0.19	-0.41
"PDCD2L"	-0.54	-0.66	0.27	-0.62
"PRR15L"	-0.54	-0.18	-0.49	-0.05
"PSMG1"	-0.54	-0.23	0.2	-1.27
"RBM38"	-0.54	-0.45	0.27	-0.54
"RP11-222K16.1"	-0.54	-0.78	0.22	-0.82
"RP11-347C12.3"	-0.54	0	-0.51	0.06
"RPL4P6"	-0.54	-1.3	0.34	0.51
"RPS29"	-0.54	-0.96	-0.33	-1.26
"RPS9"	-0.54	-0.66	0.74	-1.4
"SAXO2"	-0.54	-1.13	0.43	0.44
"SGCD"	-0.54	-0.92	-1.35	-0.31
"SHROOM1"	-0.54	0.54	1.45	-2.73
"SMIM15"	-0.54	-0.25	0.15	-0.19
"SNRPF"	-0.54	-0.27	-0.15	-0.65
"SSC4D"	-0.54	-0.21	0.41	-2
"TIGD6"	-0.54	0.06	0.41	-0.24
"TMEM170B"	-0.54	-0.95	-0.55	-0.45
"TNFSF13"	-0.54	-0.56	1.62	-2.17
"TRIP13"	-0.54	0.43	-0.06	0.09
"UBA52"	-0.54	-0.59	0.04	-1.08
"UFSP1"	-0.54	-0.49	0.19	-1.38
"ULK4P3"	-0.54	-0.46	-0.47	0.35
"UQCRQ"	-0.54	-0.25	-0.19	-0.41
"WDR6"	-0.54	-0.36	0.38	-0.91
"YIPF7"	-0.54	0	0	-0.54
"ZNF546"	-0.54	0.09	0.15	0.24
"AARS2"	-0.55	-0.61	0.11	-0.32
"ANKRD45"	-0.55	0.02	-0.91	0.38
"ANO7"	-0.55	-0.02	0.19	-0.77
"AP000350.10"	-0.55	0.55	0	-1.1
"ATP13A4"	-0.55	-0.05	-1.77	0.35
"BIN3"	-0.55	-0.04	0	-1.55
"C11orf1"	-0.55	-0.56	-0.08	-0.92
"C8orf82"	-0.55	0.27	-0.27	-0.72
"CABLES1"	-0.55	-0.99	-1.02	-0.36
"CCDC190"	-0.55	0.18	-0.17	-0.56
"CDH4"	-0.55	-1.39	0.07	-1.57
"CDH6"	-0.55	-0.14	0.79	-0.14
"CIRBP"	-0.55	-0.57	-0.33	-0.43
"CRLF2"	-0.55	0.02	-0.87	0.31
"CUEDC1"	-0.55	-0.24	-0.32	0.21
"CUL1"	-0.55	-0.41	-0.19	-0.03
"CUL3"	-0.55	-0.41	-0.69	-0.14
"CYP4F12"	-0.55	-0.65	-0.33	-0.19
"DNAH9"	-0.55	-1.02	-0.63	-1.99
"DNAJC21"	-0.55	-0.84	0.01	0.39
"EEF1B2P6"	-0.55	0.22	0	-0.77
"FAM218BP"	-0.55	-0.13	0.1	-1.22
"FGF12"	-0.55	-0.49	-0.35	0.28
"FOXO4"	-0.55	-0.65	-0.31	-0.77
"FPR1"	-0.55	-0.14	-0.73	0.35
"GCNT1P3"	-0.55	0.41	0.49	-0.96
"GOLGA8M"	-0.55	0.51	0.42	-1.1
"GPRIN2"	-0.55	-0.21	-0.37	-0.44
"HILS1"	-0.55	-0.88	-0.3	-1.02
"IDNK"	-0.55	-0.73	-0.86	-0.01
"KAT5"	-0.55	-0.23	-0.04	-0.6
"KRBOX1"	-0.55	0.33	-0.03	-0.02
"LDHC"	-0.55	-0.01	0.44	-0.31
"LRRC14"	-0.55	-0.43	-0.03	-0.25
"LRRC25"	-0.55	-0.15	-0.2	0
"LSM4"	-0.55	-0.23	-0.02	-0.52
"MITF"	-0.55	-0.28	-1.21	-0.48
"MN1"	-0.55	0	-0.08	-0.47
"MRPL57"	-0.55	-0.25	-0.21	-0.82
"NECAB2"	-0.55	-1	-0.32	-0.31
"NPL"	-0.55	-0.54	-0.4	-1.54
"PROX2"	-0.55	-0.19	0.76	-0.43
"RAC3"	-0.55	-0.3	0.02	-1.5
"RACGAP1"	-0.55	0.58	0.01	0.07
"RAD54L"	-0.55	1.02	0.29	-0.34
"RBP1"	-0.55	0.12	0.48	-1.21
"RBPJL"	-0.55	0.01	0.2	-1.38
"RP11-540B6.3"	-0.55	-0.88	-0.11	0.28
"RP5-1052I5.2"	-0.55	-0.83	-0.03	-0.65
"RPL19"	-0.55	-0.68	-0.05	-0.97
"RPL32P29"	-0.55	-1.24	0.72	-1.9
"RPS19"	-0.55	-0.7	0.12	-1.56
"SCNN1A"	-0.55	0.14	1.64	-1.9
"SMPDL3B"	-0.55	-0.81	-0.21	-1.01
"SPAG4"	-0.55	0.28	0.32	-0.95
"TLR7"	-0.55	-2.5	-0.06	0.01
"TMC5"	-0.55	-0.55	0.21	-0.21
"TOE1"	-0.55	-0.17	-0.03	-0.67
